,band,max_ref
var1-x73y14_7000_us_2x_2021-10-23T151946_corr,106,29810.47380927292
var1-x75y20_7000_us_2x_2021-10-19T160916_corr,106,29334.10325605901
var8-x74y17_7000_us_2x_2021-10-23T150719_corr,106,28426.063076923077
var8-x75y12_7000_us_2x_2021-10-20T113607_corr,105,29473.204599578505
x30y21-var1_11000_us_2x_2020-12-02T095609_corr,119,20248.6405374078
x32y23-var8_8000_us_2x_2020-12-02T155853_corr,106,22942.51126975764
x33y24-var1_11000_us_2x_2020-12-02T095946_corr,119,15484.482218124342
x34y21-var8_8000_us_2x_2020-12-02T142436_corr,106,28598.042023182297
